	SRR2921689	SRR2921690	SRR2921691	SRR2921692	SRR2921693	SRR2921694	SRR2921695	SRR2921696	SRR2921697	SRR2921698	SRR2921699	SRR2921700	SRR2921701	SRR2921702	SRR2921703	SRR2921704	SRR2921705	SRR2921706	SRR2921707	SRR2921708	SRR2921709	SRR2921710	SRR2921711	SRR2921712
1MNCAMti_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1PPDCRp_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2t_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24_25DHVITD2tm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3t_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24_25DHVITD3tm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24_25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24_25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24NPHte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24NPHte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25HVITD2t_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25HVITD2tin_m_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25HVITD2tm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25HVITD3t_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25HVITD3tin_m_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25HVITD3tm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25VITD2Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25VITD3Hm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2AMACHYD_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2AMACSULT_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2AMADPTm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2DR1PP_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2HBO_pos	11.85276159130674	12.671677905727522	12.264709545548074	12.622337869733164	12.306861940825122	12.702388788604523	12.1828415707578	12.808490241716967	13.124365559649272	12.88291336048704	12.909239748871533	12.840103692470981	12.240189861828924	11.912187002511697	13.022599106841287	13.01048484490675	12.742041670218448	12.871613727098467	12.354218648420513	11.903347036128956	12.046082070027804	12.835180484810571	12.367575859595517	12.560338050802468
2HBO_neg	11.85276159130674	12.671677905727522	12.264709545548074	12.622337869733164	12.306861940825122	12.702388788604523	12.1828415707578	12.808490241716967	13.124365559649272	12.88291336048704	12.909239748871533	12.840103692470981	12.240189861828924	11.912187002511697	13.022599106841287	13.01048484490675	12.742041670218448	12.871613727098467	12.354218648420513	11.903347036128956	12.046082070027804	12.835180484810571	12.367575859595517	12.560338050802468
2HBt2_pos	4.702653312805509	0.2769913515115822	3.566187623432642	1.8343757919232733	1.2942463776029078	2.964751853042434	3.8567465820190434	3.5457463335474464	2.3832781380627526	6.085190469396452	1.9732505008252215	5.259579494267898	5.51343804742026	4.011790227337595	5.931235282990532	2.312537236040014	4.695692603623362	0.812397973479934	3.8762440684884982	5.414040371414696	6.084486984866012	1.9002206111523554	4.828668160664831	3.724655355852902
2HBt2_neg	4.702653312805509	0.2769913515115822	3.566187623432642	1.8343757919232733	1.2942463776029078	2.964751853042434	3.8567465820190434	3.5457463335474464	2.3832781380627526	6.085190469396452	1.9732505008252215	5.259579494267898	5.51343804742026	4.011790227337595	5.931235282990532	2.312537236040014	4.695692603623362	0.812397973479934	3.8762440684884982	5.414040371414696	6.084486984866012	1.9002206111523554	4.828668160664831	3.724655355852902
2HCO3_NAt_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2HCO3_NAt_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2MCITt_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2MCITt_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2OXOADOXm_pos	6.729422176672092	7.8926253749962045	6.611541199432675	6.368299415595767	7.225337792744932	6.594164642435012	6.614839113352007	6.694145785111463	7.456359782579489	7.425576872145339	6.359563189158188	6.820254812607296	6.974291474660032	6.455568840908496	6.035529931263586	6.292329635808697	6.575248597583766	6.942708133765598	6.746462772606849	5.741570561039573	6.707955801949356	6.429917636528707	6.857505690929566	7.358129785855193
2OXOADPTm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2OXOADPTm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHOXPEGOX_pos	8.656746102935982	7.393219908096455	8.08039051753339	5.59051838425069	5.360786852274391	7.5311944394841825	8.589602866534083	8.32527161374354	7.471718285304233	7.954198370099463	8.308447449008202	8.28562586048134	7.265111695153685	8.30888441054377	6.451757941887322	6.866844905423592	8.509227542597108	8.007883274850293	7.638608406524877	8.240561112738936	8.225325039393393	9.036695589196265	8.599755167170658	8.666399850981492
34DHOXPEGOX_neg	8.656746102935982	7.393219908096455	8.08039051753339	5.59051838425069	5.360786852274391	7.5311944394841825	8.589602866534083	8.32527161374354	7.471718285304233	7.954198370099463	8.308447449008202	8.28562586048134	7.265111695153685	8.30888441054377	6.451757941887322	6.866844905423592	8.509227542597108	8.007883274850293	7.638608406524877	8.240561112738936	8.225325039393393	9.036695589196265	8.599755167170658	8.666399850981492
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	7.894327199975895	9.183805324203194	8.911838338901406	8.73479358643682	8.21607877454098	8.778048670549571	9.653714960233845	7.366380296370294	8.227102940648571	8.968552888243364	9.34145673937455	8.82724384081353	8.826410019231412	9.265561166568189	8.37101866903485	9.023877164521188	9.447401509739876	8.158877702050933	8.341091073140058	7.846644897974885	9.725167477416042	7.485809047691408	9.488731434303142	8.195143589716851
34DHPHEt_pos	2.697524969721163	1.0100258751624815	0.0	1.3550366915204788	1.88793635445286	3.664579074840642	3.48842502453443	1.0234459014622868	4.078844109479408	1.8641049206774525	5.33100106478888	0.7955956042426111	1.7345497382971973	0.8339359296963266	0.0	2.0417321255766607	2.4307591166221547	0.9038750044993418	0.0	1.9830007292253446	1.7954692399853731	1.8970542674238666	1.8824649376084648	2.3905606936696606
34DHPHEt_neg	2.697524969721163	1.0100258751624815	0.0	1.3550366915204788	1.88793635445286	3.664579074840642	3.48842502453443	1.0234459014622868	4.078844109479408	1.8641049206774525	5.33100106478888	0.7955956042426111	1.7345497382971973	0.8339359296963266	0.0	2.0417321255766607	2.4307591166221547	0.9038750044993418	0.0	1.9830007292253446	1.7954692399853731	1.8970542674238666	1.8824649376084648	2.3905606936696606
34DHPLACOX_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHPLACOX_NADP__pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHPLACOX_NADP__neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHXMANDACOX_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHXMANDACOX_NADP__pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHXMANDACOX_NADP__neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	2.0740306477539012	2.918664461428891	0.0	2.6633532350769085	1.0346301029823282	2.5564488303171986	0.42798898061801244	2.9595441595257834	2.94015749374584	1.396088483229236	2.730710488655654	2.358715181150956	2.3553596040636595	1.8807393353427075	0.0	0.0	0.0	0.0	1.364927317225865	2.1022604896575574	2.782755480263591	0.0	0.0	3.1499555015524043
3HAO_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5056980316695308	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	4.361472870482386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47605992249293877	0.0	0.0	0.0	0.0	0.0	1.9887283453021676	0.0	0.0	0.0	0.0	2.9293365002159426	0.0
